scenario_id,family,request,reference_version,reference,wording_supports_reference,times_units_inclusive_boundaries_agree,date_timezone_agree,endpoints_names_and_public_windows_agree,scope_agrees,visits_and_order_agree,expressible,pool_size,feasible_journeys,feasibility_label_agrees,invalid_public_journeys,clear_reference_error,unresolved_ambiguity,audit_type,human_audited,human_reviewer,human_question,human_correction
pilot-10,infeasible,"On 2026-09-14, plan the outbound journey from N Vancouver & Page [stop_id=6001] to NW Glisan & 3rd [stop_id=9311]. Do not use buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-11,transfers,"On 2026-09-14, plan the outbound journey from SW 5th & Harrison [stop_id=7602] to OMSI/SE Water [stop_id=13772]. Make at most 1 transfers. Do not depart before 07:16:08.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":26168}]}",True,True,True,True,True,not_applicable,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-12,ordered_visits,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW 6th & Harvey Milk [stop_id=7797]. Call at stop 13733 and then stop 3398, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13733"",""3398""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-13,timing,"On 2026-09-14, plan the outbound journey from SW 6th & Salmon [stop_id=7789] to N Williams & NE Weidler [stop_id=11480]. Depart no earlier than 08:12:00 and arrive by 09:09:26, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29520},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32966}]}",True,True,True,True,True,not_applicable,True,64,5,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-14,mode_exclusion,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW 6th & Clay [stop_id=7756]. Do not use rail or tram. Depart no later than 07:28:14, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":26894},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,22,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-15,infeasible,"On 2026-09-14, plan the outbound journey from SE Division & 20th Ave [stop_id=14243] to SW 6th & Taylor [stop_id=7800]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-16,transfers,"On 2026-09-14, plan the outbound journey from SW 6th & Market [stop_id=7772] to SW 6th & Washington [stop_id=7803]. Make at most 0 transfers. Do not depart before 07:09:59.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25799}]}",True,True,True,True,True,not_applicable,True,57,6,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-17,scope,"On 2026-09-14, plan the outbound journey from SW 6th & Mill [stop_id=7773] to SW 6th & Alder [stop_id=7747]. Also plan a return segment from SW 5th & Washington [stop_id=7642] to SW 5th & Harrison [stop_id=7602] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 0 transfers. On the return segment only, depart no earlier than 09:04:05.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":32645}]}",True,True,True,True,True,not_applicable,True,256,31,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-18,timing,"On 2026-09-14, plan the outbound journey from NW 5th & Hoyt [stop_id=9302] to SW 5th & Hall [stop_id=10491]. Depart no earlier than 07:36:00 and arrive by 09:08:31, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27360},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32911}]}",True,True,True,True,True,not_applicable,True,64,17,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-19,mode_exclusion,"On 2026-09-14, plan the outbound journey from N Vancouver & Tillamook [stop_id=6008] to SE Milwaukie & Powell [stop_id=10472]. Do not use rail or tram. Depart no later than 07:56:26, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28586},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,45,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-20,ordered_visits,"On 2026-09-14, plan the outbound journey from SW 5th & Harvey Milk [stop_id=7636] to SE Division Pl & 8th [stop_id=13778]. Call at stop 7640 and then stop 7594, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7640"",""7594""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-21,transfers,"On 2026-09-14, plan the outbound journey from SE Division & 11th Ave [stop_id=14244] to NW Irving & 5th [stop_id=3007]. Make at most 1 transfers. Do not depart before 07:05:00.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25500}]}",True,True,True,True,True,not_applicable,True,17,17,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-22,scope,"On 2026-09-14, plan the outbound journey from N Vancouver & Weidler [stop_id=6009] to SW Jefferson & 5th [stop_id=12791]. Also plan a return segment from SW Jefferson & 5th [stop_id=12791] to N Williams & NE Weidler [stop_id=11480] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the return segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:25:00.",stage2-provisional-v1,"{""and"":[{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33900}]}",True,True,True,True,True,not_applicable,True,256,256,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-23,infeasible,"On 2026-09-14, plan the outbound journey from SW 5th & Taylor [stop_id=7640] to SE Milwaukie & Gideon [stop_id=13791]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-24,mode_exclusion,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13732] to SE Division & 20th Ave [stop_id=1435]. Do not use rail or tram. Depart no later than 07:12:38, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":25958},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,14,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-25,ordered_visits,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & Jefferson [stop_id=7765]. Call at stop 3398 and then stop 13780, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-26,timing,"On 2026-09-14, plan the outbound journey from NE Broadway & 12th [stop_id=629] to NE Multnomah & 3rd [stop_id=11492]. Depart no earlier than 07:00:00 and arrive by 09:19:34, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25200},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33574}]}",True,True,True,True,True,not_applicable,True,51,35,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-27,scope,"On 2026-09-14, plan the outbound journey from SW 5th & Hall [stop_id=10491] to SE Division & 12th Ave [stop_id=1375]. Also plan a return segment from SE Division & 11th Ave [stop_id=14244] to SW Hall & 5th [stop_id=13780] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:40:00.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34800}]}",True,True,True,True,True,not_applicable,True,256,35,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-28,infeasible,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=2592] to SW Madison & 4th [stop_id=3639]. Do not use buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-29,transfers,"On 2026-09-14, plan the outbound journey from SW 6th & Main [stop_id=7767] to NE Grand & Wasco [stop_id=10953]. Make at most 0 transfers. Do not depart before 07:49:41.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":28181}]}",True,True,True,True,True,not_applicable,True,64,2,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-30,ordered_visits,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to OMSI/SE Water [stop_id=13772]. Call at stop 7602 and then stop 3397, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7602"",""3397""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,31,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-31,timing,"On 2026-09-14, plan the outbound journey from NW Everett & 2nd [stop_id=1612] to N Williams & NE Tillamook [stop_id=6370]. Depart no earlier than 08:47:42 and arrive by 09:11:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":31662},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33060}]}",True,True,True,True,True,not_applicable,True,64,4,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-32,mode_exclusion,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=11817] to NE Weidler & 15th [stop_id=10425]. Do not use rail or tram. Depart no later than 07:59:54, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28794},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,45,30,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-33,infeasible,"On 2026-09-14, plan the outbound journey from SW 5th & Washington [stop_id=7642] to 300 Block SW Lincoln [stop_id=3397]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-34,transfers,"On 2026-09-14, plan the outbound journey from SW 6th & W Burnside [stop_id=7751] to Rose Quarter Transit Center [stop_id=1097]. Make at most 1 transfers. Do not depart before 08:42:07.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":31327}]}",True,True,True,True,True,not_applicable,True,64,13,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-35,scope,"On 2026-09-14, plan the outbound journey from NE M L King & Wasco [stop_id=5958] to SE Powell & 12th [stop_id=13792]. Also plan a return segment from SE Powell & Milwaukie [stop_id=4538] to NE Grand & Wasco [stop_id=10953] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:16:00.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33360}]}",True,True,True,True,True,not_applicable,True,256,168,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-36,timing,"On 2026-09-14, plan the outbound journey from SW Hall & 5th [stop_id=13780] to SW 6th & Harvey Milk [stop_id=7797]. Depart no earlier than 07:41:15 and arrive by 09:22:23, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27675},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33743}]}",True,True,True,True,True,not_applicable,True,64,18,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-37,mode_exclusion,"On 2026-09-14, plan the outbound journey from NW Everett & 5th [stop_id=8886] to N Williams & NE Weidler [stop_id=11480]. Do not use rail or tram. Depart no later than 08:57:49, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":32269},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,59,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-38,ordered_visits,"On 2026-09-14, plan the outbound journey from NE Weidler & Lloyd Center [stop_id=6216] to 2200 Block NE Weidler [stop_id=14656]. Call at stop 10425 and then stop 6235, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""10425"",""6235""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,25,25,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-39,transfers,"On 2026-09-14, plan the outbound journey from SW Lincoln & 1st [stop_id=3398] to SW 6th & Taylor [stop_id=7800]. Make at most 0 transfers. Do not depart before 08:15:22.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29722}]}",True,True,True,True,True,not_applicable,True,64,2,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-40,scope,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to SW 5th & Salmon [stop_id=7634]. Also plan a return segment from SW 6th & Salmon [stop_id=7789] to NW Everett & 5th [stop_id=8886] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the return segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:12:00.",stage2-provisional-v1,"{""and"":[{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33120}]}",True,True,True,True,True,not_applicable,True,256,256,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-41,infeasible,"On 2026-09-14, plan the outbound journey from NE Weidler & 7th [stop_id=6240] to NE Weidler & 21st [stop_id=6235]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",True,True,True,True,True,not_applicable,True,25,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-42,mode_exclusion,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW 6th & Columbia [stop_id=11486]. Do not use rail or tram. Depart no later than 07:29:27, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":26967},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,28,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-43,ordered_visits,"On 2026-09-14, plan the outbound journey from N Vancouver & Page [stop_id=6001] to SW 5th & Pine [stop_id=7631]. Call at stop 6008 and then stop 6009, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""6008"",""6009""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-44,timing,"On 2026-09-14, plan the outbound journey from NE Broadway & 16th [stop_id=631] to NE M L King & Weidler [stop_id=5960]. Depart no earlier than 08:13:27 and arrive by 09:18:03, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29607},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33483}]}",True,True,True,True,True,not_applicable,True,25,9,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-45,scope,"On 2026-09-14, plan the outbound journey from SE Division & 20th Ave [stop_id=14243] to NW 6th & Flanders [stop_id=9300]. Also plan a return segment from NW 5th & Davis [stop_id=9301] to SE Division & 20th Ave [stop_id=1435] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:03:06.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":32586}]}",True,True,True,True,True,not_applicable,True,256,204,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-46,infeasible,"On 2026-09-14, plan the outbound journey from N Vancouver & Tillamook [stop_id=6008] to NW Glisan & 3rd [stop_id=9311]. Do not use buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-47,transfers,"On 2026-09-14, plan the outbound journey from NE Broadway & 21st [stop_id=634] to NE Broadway & 7th [stop_id=655]. Make at most 1 transfers. Do not depart before 08:11:19.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29479}]}",True,True,True,True,True,not_applicable,True,25,16,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
